INFO: running game loop
DEBUG: Button pressed
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
DEBUG: Entities: 3
